11/13/2023 Ohio Christian          71 Youngstown St.          99    
11/14/2023 Prairie View A&M        79 Abilene Christian       74    
11/14/2023 Heidelberg              56 Akron                  114    
11/14/2023 South Alabama           46 Alabama                102    
11/14/2023 Oglethorpe              51 Alabama St.            115    
11/14/2023 Alcorn St.              86 Arkansas St.           100    
11/14/2023 Fisk                    52 Austin Peay             79    
11/14/2023 Oakland City            51 Ball St.                92    
11/14/2023 UMKC                    61 Baylor                  99    
11/14/2023 Berry                   59 Belmont                 93    
11/14/2023 Tarleton St.            63 Bradley                 86    
11/14/2023 Bellarmine              64 Chattanooga             72    
11/14/2023 Cal St. Northridge      74 Chicago St.             64    
11/14/2023 Milwaukee               79 Colorado               106    
11/14/2023 Mississippi Valley St.  53 Connecticut             87    
11/14/2023 Iowa                    84 Creighton               92    
11/14/2023 South Dakota            60 DePaul                  72    
11/14/2023 SW Minnesota St.        67 Drake                   87    
11/14/2023 Temple                  66 Drexel                  64    
11/14/2023 Florida A&M             68 Florida                 89    
11/14/2023 Eastern Michigan        57 Florida Atlantic       100    
11/14/2023 Hofstra                 60 George Washington       71    
11/14/2023 UMass Lowell            74 Georgia Tech            71    
11/14/2023 Eastern Oregon          57 Gonzaga                123    
11/14/2023 Champion Christian      73 Grambling St.          113    
11/14/2023 Northeastern            56 Harvard                 80    
11/14/2023 Hawaii Hilo             66 Hawaii                  82    
11/14/2023 Sacred Heart            84 Holy Cross              77    
11/14/2023 Boston University       53 Howard                  64    
11/14/2023 Evergreen St.           42 Idaho                   88    
11/14/2023 Marquette               71 Illinois                64    
11/14/2023 Schreiner               63 Incarnate Word         104    
11/14/2023 IUPUI                   57 Indiana St.             96    
11/14/2023 Georgia Southern        68 Jacksonville            85    
